video capture start
画像サイズ幅 : 1920.000000[pixel]
画像サイズ高さ : 1080.000000[pixel]
FPS : 59.416667[frame/s]
総フレーム数 : 288.000000[frame]
動画時間 : 4.847125[s]
frame : 155.000000, ms : 2608.695652, ratio : 0.000011
frame : 156.000000, ms : 2625.525947, ratio : 0.000011
frame : 157.000000, ms : 2642.356241, ratio : 0.000011
frame : 158.000000, ms : 2659.186536, ratio : 0.000011
frame : 159.000000, ms : 2676.016830, ratio : 0.000011
frame : 160.000000, ms : 2692.847125, ratio : 0.000011
frame : 161.000000, ms : 2709.677419, ratio : 0.000011
frame : 162.000000, ms : 2726.507714, ratio : 0.000011
frame : 163.000000, ms : 2743.338008, ratio : 0.000011
waitKey : 113
video capture end
